ts,ticker,tf,price,tech_signal,tech_score,final_signal,filter_status,event_type,event_weight,ai_summary,ai_skip_reason,macd_div,htf_trend,imoex_regime,candle_progress_pct,daily_atr_progress_pct
2026-07-08T14:33:21+00:00,SMLT,15m,295.4,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,bear,neutral,50.0,100.0
2026-07-08T14:33:22+00:00,KAZT,15m,270.6,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,neutral,neutral,0.0,117.6
2026-07-08T14:33:22+00:00,ETLN,15m,21.74,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,🔄 Медвежья дивергенция MACD — разворот вниз,bear,neutral,0.0,108.3
2026-07-08T14:33:23+00:00,PHOR,15m,4893.0,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,bear,neutral,57.1,115.5
2026-07-08T14:33:23+00:00,LSRG,15m,576.0,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,neutral,neutral,0.0,46.9
2026-07-08T14:33:40+00:00,NKNC,15m,47.45,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,bear,neutral,0.0,118.2
2026-07-08T14:33:41+00:00,UWGN,15m,16.08,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,neutral,neutral,0.0,83.7
2026-07-08T14:33:41+00:00,GCHE,15m,2994.0,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,neutral,neutral,0.0,58.7
2026-07-08T14:33:42+00:00,SGZH,15m,0.557,🟩 LONG,100,🟩 LONG CONFIRMED,CONFIRMED,нет событий,0,,no_facts,,neutral,neutral,75.0,105.5
2026-07-08T14:33:43+00:00,SFIN,15m,478.0,НЕТ СИГНАЛА,0,НЕТ СИГНАЛА,NO_SIGNAL,нет событий,0,,no_facts,,bear,neutral,75.0,100.7
2026-07-08T15:01:16+00:00,GAZP,15m,94.49,🟩 LONG,87,⏸ 🟩 LONG CONFIRMED (Закрывай позиции),CONFIRMED,нет событий,0,,no_facts,🔄 Бычья дивергенция MACD — разворот вверх,neutral,neutral,3.0,93.6
2026-07-08T15:01:16+00:00,GMKN,15m,110.56,🟥 SHORT/ВЫХОД,90,🟥 ВЫХОД CONFIRMED,CONFIRMED,нет событий,0,,no_facts,,bear,neutral,97.6,226.5
